AEROPUERTO_DE_PROCEDENCIA,Mes_Año,Pasajeros,Isla,Mes,Año,MesNum,Fecha
Hungría,marzo 2019,0,Fuerteventura,marzo,2019,3,2019-03-01
Venezuela,marzo 2019,0,Fuerteventura,marzo,2019,3,2019-03-01
Rumanía,marzo 2019,0,Fuerteventura,marzo,2019,3,2019-03-01
Estonia,marzo 2019,0,Fuerteventura,marzo,2019,3,2019-03-01
Letonia,marzo 2019,0,Fuerteventura,marzo,2019,3,2019-03-01
Lituania,marzo 2019,0,Fuerteventura,marzo,2019,3,2019-03-01
Ucrania,marzo 2019,0,Fuerteventura,marzo,2019,3,2019-03-01
Israel,marzo 2019,0,Fuerteventura,marzo,2019,3,2019-03-01
USA,marzo 2019,0,Fuerteventura,marzo,2019,3,2019-03-01
Otros países,marzo 2019,2030,Fuerteventura,marzo,2019,3,2019-03-01
Total aerop. Extranjeros,marzo 2019,188362,Fuerteventura,marzo,2019,3,2019-03-01
TOTAL PASAJEROS,marzo 2019,250148,Fuerteventura,marzo,2019,3,2019-03-01
aerop. Interinsulares,abril 2019,39731,Fuerteventura,abril,2019,4,2019-04-01
aerop. peninsulares,abril 2019,26828,Fuerteventura,abril,2019,4,2019-04-01
Total aerop. españoles,abril 2019,66559,Fuerteventura,abril,2019,4,2019-04-01
Aerop. Peninsulares + aerop. Extranjeros,abril 2019,199275,Fuerteventura,abril,2019,4,2019-04-01
Holanda,abril 2019,4968,Fuerteventura,abril,2019,4,2019-04-01
Bélgica,abril 2019,1787,Fuerteventura,abril,2019,4,2019-04-01
Alemania,abril 2019,59388,Fuerteventura,abril,2019,4,2019-04-01
Francia,abril 2019,11817,Fuerteventura,abril,2019,4,2019-04-01
Reino Unido,abril 2019,60554,Fuerteventura,abril,2019,4,2019-04-01
Irlanda,abril 2019,4792,Fuerteventura,abril,2019,4,2019-04-01
Italia,abril 2019,6995,Fuerteventura,abril,2019,4,2019-04-01
Países Nórdicos,abril 2019,7047,Fuerteventura,abril,2019,4,2019-04-01
Suecia,abril 2019,3010,Fuerteventura,abril,2019,4,2019-04-01
Noruega,abril 2019,0,Fuerteventura,abril,2019,4,2019-04-01
Dinamarca,abril 2019,3483,Fuerteventura,abril,2019,4,2019-04-01
Finlandia,abril 2019,554,Fuerteventura,abril,2019,4,2019-04-01
Suiza,abril 2019,5383,Fuerteventura,abril,2019,4,2019-04-01
Austria,abril 2019,1504,Fuerteventura,abril,2019,4,2019-04-01
Federación Rusa,abril 2019,0,Fuerteventura,abril,2019,4,2019-04-01
Republica Checa,abril 2019,816,Fuerteventura,abril,2019,4,2019-04-01
Polonia,abril 2019,5585,Fuerteventura,abril,2019,4,2019-04-01
Portugal,abril 2019,0,Fuerteventura,abril,2019,4,2019-04-01
Marruecos,abril 2019,0,Fuerteventura,abril,2019,4,2019-04-01
Luxemburgo,abril 2019,0,Fuerteventura,abril,2019,4,2019-04-01
Islandia,abril 2019,0,Fuerteventura,abril,2019,4,2019-04-01
Hungría,abril 2019,0,Fuerteventura,abril,2019,4,2019-04-01
Venezuela,abril 2019,0,Fuerteventura,abril,2019,4,2019-04-01
Rumanía,abril 2019,0,Fuerteventura,abril,2019,4,2019-04-01
Estonia,abril 2019,0,Fuerteventura,abril,2019,4,2019-04-01
Letonia,abril 2019,0,Fuerteventura,abril,2019,4,2019-04-01
Lituania,abril 2019,0,Fuerteventura,abril,2019,4,2019-04-01
Ucrania,abril 2019,0,Fuerteventura,abril,2019,4,2019-04-01
Israel,abril 2019,0,Fuerteventura,abril,2019,4,2019-04-01
USA,abril 2019,0,Fuerteventura,abril,2019,4,2019-04-01
Otros países,abril 2019,1811,Fuerteventura,abril,2019,4,2019-04-01
Total aerop. Extranjeros,abril 2019,172447,Fuerteventura,abril,2019,4,2019-04-01
TOTAL PASAJEROS,abril 2019,239006,Fuerteventura,abril,2019,4,2019-04-01
aerop. Interinsulares,mayo 2019,40491,Fuerteventura,mayo,2019,5,2019-05-01
aerop. peninsulares,mayo 2019,26668,Fuerteventura,mayo,2019,5,2019-05-01
Total aerop. españoles,mayo 2019,67159,Fuerteventura,mayo,2019,5,2019-05-01
Aerop. Peninsulares + aerop. Extranjeros,mayo 2019,163721,Fuerteventura,mayo,2019,5,2019-05-01
Holanda,mayo 2019,4036,Fuerteventura,mayo,2019,5,2019-05-01
Bélgica,mayo 2019,1404,Fuerteventura,mayo,2019,5,2019-05-01
Alemania,mayo 2019,47328,Fuerteventura,mayo,2019,5,2019-05-01
Francia,mayo 2019,7097,Fuerteventura,mayo,2019,5,2019-05-01
Reino Unido,mayo 2019,52229,Fuerteventura,mayo,2019,5,2019-05-01
Irlanda,mayo 2019,4443,Fuerteventura,mayo,2019,5,2019-05-01
Italia,mayo 2019,6370,Fuerteventura,mayo,2019,5,2019-05-01
Países Nórdicos,mayo 2019,1730,Fuerteventura,mayo,2019,5,2019-05-01
Suecia,mayo 2019,551,Fuerteventura,mayo,2019,5,2019-05-01
Noruega,mayo 2019,0,Fuerteventura,mayo,2019,5,2019-05-01
Dinamarca,mayo 2019,1179,Fuerteventura,mayo,2019,5,2019-05-01
Finlandia,mayo 2019,0,Fuerteventura,mayo,2019,5,2019-05-01
Suiza,mayo 2019,4315,Fuerteventura,mayo,2019,5,2019-05-01
Austria,mayo 2019,593,Fuerteventura,mayo,2019,5,2019-05-01
Federación Rusa,mayo 2019,0,Fuerteventura,mayo,2019,5,2019-05-01
Republica Checa,mayo 2019,824,Fuerteventura,mayo,2019,5,2019-05-01
Polonia,mayo 2019,6297,Fuerteventura,mayo,2019,5,2019-05-01
Portugal,mayo 2019,0,Fuerteventura,mayo,2019,5,2019-05-01
Marruecos,mayo 2019,0,Fuerteventura,mayo,2019,5,2019-05-01
Luxemburgo,mayo 2019,0,Fuerteventura,mayo,2019,5,2019-05-01
Islandia,mayo 2019,0,Fuerteventura,mayo,2019,5,2019-05-01
Hungría,mayo 2019,0,Fuerteventura,mayo,2019,5,2019-05-01
Venezuela,mayo 2019,0,Fuerteventura,mayo,2019,5,2019-05-01
Rumanía,mayo 2019,0,Fuerteventura,mayo,2019,5,2019-05-01
Estonia,mayo 2019,0,Fuerteventura,mayo,2019,5,2019-05-01
Letonia,mayo 2019,0,Fuerteventura,mayo,2019,5,2019-05-01
Lituania,mayo 2019,0,Fuerteventura,mayo,2019,5,2019-05-01
Ucrania,mayo 2019,0,Fuerteventura,mayo,2019,5,2019-05-01
Israel,mayo 2019,0,Fuerteventura,mayo,2019,5,2019-05-01
USA,mayo 2019,0,Fuerteventura,mayo,2019,5,2019-05-01
Otros países,mayo 2019,387,Fuerteventura,mayo,2019,5,2019-05-01
Total aerop. Extranjeros,mayo 2019,137053,Fuerteventura,mayo,2019,5,2019-05-01
TOTAL PASAJEROS,mayo 2019,204212,Fuerteventura,mayo,2019,5,2019-05-01
aerop. Interinsulares,junio 2019,42337,Fuerteventura,junio,2019,6,2019-06-01
aerop. peninsulares,junio 2019,31440,Fuerteventura,junio,2019,6,2019-06-01
Total aerop. españoles,junio 2019,73777,Fuerteventura,junio,2019,6,2019-06-01
Aerop. Peninsulares + aerop. Extranjeros,junio 2019,185233,Fuerteventura,junio,2019,6,2019-06-01
Holanda,junio 2019,4758,Fuerteventura,junio,2019,6,2019-06-01
Bélgica,junio 2019,1459,Fuerteventura,junio,2019,6,2019-06-01
Alemania,junio 2019,51659,Fuerteventura,junio,2019,6,2019-06-01
Francia,junio 2019,8208,Fuerteventura,junio,2019,6,2019-06-01
Reino Unido,junio 2019,57857,Fuerteventura,junio,2019,6,2019-06-01
Irlanda,junio 2019,5317,Fuerteventura,junio,2019,6,2019-06-01
Italia,junio 2019,7684,Fuerteventura,junio,2019,6,2019-06-01
Países Nórdicos,junio 2019,2524,Fuerteventura,junio,2019,6,2019-06-01
Suecia,junio 2019,722,Fuerteventura,junio,2019,6,2019-06-01
Noruega,junio 2019,0,Fuerteventura,junio,2019,6,2019-06-01
Dinamarca,junio 2019,1802,Fuerteventura,junio,2019,6,2019-06-01
Finlandia,junio 2019,0,Fuerteventura,junio,2019,6,2019-06-01
Suiza,junio 2019,4760,Fuerteventura,junio,2019,6,2019-06-01
Austria,junio 2019,681,Fuerteventura,junio,2019,6,2019-06-01
Federación Rusa,junio 2019,0,Fuerteventura,junio,2019,6,2019-06-01
Republica Checa,junio 2019,787,Fuerteventura,junio,2019,6,2019-06-01
Polonia,junio 2019,6605,Fuerteventura,junio,2019,6,2019-06-01
Portugal,junio 2019,845,Fuerteventura,junio,2019,6,2019-06-01
Marruecos,junio 2019,0,Fuerteventura,junio,2019,6,2019-06-01
Luxemburgo,junio 2019,649,Fuerteventura,junio,2019,6,2019-06-01
Islandia,junio 2019,0,Fuerteventura,junio,2019,6,2019-06-01
Hungría,junio 2019,0,Fuerteventura,junio,2019,6,2019-06-01
Venezuela,junio 2019,0,Fuerteventura,junio,2019,6,2019-06-01
Rumanía,junio 2019,0,Fuerteventura,junio,2019,6,2019-06-01
Estonia,junio 2019,0,Fuerteventura,junio,2019,6,2019-06-01
Letonia,junio 2019,0,Fuerteventura,junio,2019,6,2019-06-01
Lituania,junio 2019,0,Fuerteventura,junio,2019,6,2019-06-01
Ucrania,junio 2019,0,Fuerteventura,junio,2019,6,2019-06-01
Israel,junio 2019,0,Fuerteventura,junio,2019,6,2019-06-01
USA,junio 2019,0,Fuerteventura,junio,2019,6,2019-06-01
Otros países,junio 2019,0,Fuerteventura,junio,2019,6,2019-06-01
Total aerop. Extranjeros,junio 2019,153793,Fuerteventura,junio,2019,6,2019-06-01
TOTAL PASAJEROS,junio 2019,227570,Fuerteventura,junio,2019,6,2019-06-01
aerop. Interinsulares,julio 2019,48592,Fuerteventura,julio,2019,7,2019-07-01
aerop. peninsulares,julio 2019,41161,Fuerteventura,julio,2019,7,2019-07-01
Total aerop. españoles,julio 2019,89753,Fuerteventura,julio,2019,7,2019-07-01
Aerop. Peninsulares + aerop. Extranjeros,julio 2019,206998,Fuerteventura,julio,2019,7,2019-07-01
Holanda,julio 2019,4592,Fuerteventura,julio,2019,7,2019-07-01
Bélgica,julio 2019,2664,Fuerteventura,julio,2019,7,2019-07-01
Alemania,julio 2019,54517,Fuerteventura,julio,2019,7,2019-07-01
Francia,julio 2019,9599,Fuerteventura,julio,2019,7,2019-07-01
Reino Unido,julio 2019,59567,Fuerteventura,julio,2019,7,2019-07-01
Irlanda,julio 2019,5587,Fuerteventura,julio,2019,7,2019-07-01
Italia,julio 2019,8828,Fuerteventura,julio,2019,7,2019-07-01
Países Nórdicos,julio 2019,3241,Fuerteventura,julio,2019,7,2019-07-01
Suecia,julio 2019,916,Fuerteventura,julio,2019,7,2019-07-01
Noruega,julio 2019,0,Fuerteventura,julio,2019,7,2019-07-01
Dinamarca,julio 2019,2325,Fuerteventura,julio,2019,7,2019-07-01
Finlandia,julio 2019,0,Fuerteventura,julio,2019,7,2019-07-01
Suiza,julio 2019,3726,Fuerteventura,julio,2019,7,2019-07-01
Austria,julio 2019,862,Fuerteventura,julio,2019,7,2019-07-01
Federación Rusa,julio 2019,0,Fuerteventura,julio,2019,7,2019-07-01
Republica Checa,julio 2019,833,Fuerteventura,julio,2019,7,2019-07-01
Polonia,julio 2019,8598,Fuerteventura,julio,2019,7,2019-07-01
Portugal,julio 2019,2701,Fuerteventura,julio,2019,7,2019-07-01
Marruecos,julio 2019,0,Fuerteventura,julio,2019,7,2019-07-01
Luxemburgo,julio 2019,517,Fuerteventura,julio,2019,7,2019-07-01
Islandia,julio 2019,0,Fuerteventura,julio,2019,7,2019-07-01
Hungría,julio 2019,0,Fuerteventura,julio,2019,7,2019-07-01
Venezuela,julio 2019,0,Fuerteventura,julio,2019,7,2019-07-01
Rumanía,julio 2019,0,Fuerteventura,julio,2019,7,2019-07-01
Estonia,julio 2019,0,Fuerteventura,julio,2019,7,2019-07-01
Letonia,julio 2019,0,Fuerteventura,julio,2019,7,2019-07-01
Lituania,julio 2019,0,Fuerteventura,julio,2019,7,2019-07-01
Ucrania,julio 2019,0,Fuerteventura,julio,2019,7,2019-07-01
Israel,julio 2019,0,Fuerteventura,julio,2019,7,2019-07-01
USA,julio 2019,0,Fuerteventura,julio,2019,7,2019-07-01
Otros países,julio 2019,5,Fuerteventura,julio,2019,7,2019-07-01
Total aerop. Extranjeros,julio 2019,165837,Fuerteventura,julio,2019,7,2019-07-01
TOTAL PASAJEROS,julio 2019,255590,Fuerteventura,julio,2019,7,2019-07-01
aerop. Interinsulares,agosto 2019,51742,Fuerteventura,agosto,2019,8,2019-08-01
aerop. peninsulares,agosto 2019,42467,Fuerteventura,agosto,2019,8,2019-08-01
Total aerop. españoles,agosto 2019,94209,Fuerteventura,agosto,2019,8,2019-08-01
Aerop. Peninsulares + aerop. Extranjeros,agosto 2019,205328,Fuerteventura,agosto,2019,8,2019-08-01
Holanda,agosto 2019,4730,Fuerteventura,agosto,2019,8,2019-08-01
Bélgica,agosto 2019,2274,Fuerteventura,agosto,2019,8,2019-08-01
Alemania,agosto 2019,54567,Fuerteventura,agosto,2019,8,2019-08-01
Francia,agosto 2019,9753,Fuerteventura,agosto,2019,8,2019-08-01
Reino Unido,agosto 2019,58498,Fuerteventura,agosto,2019,8,2019-08-01
Irlanda,agosto 2019,5010,Fuerteventura,agosto,2019,8,2019-08-01
Italia,agosto 2019,9297,Fuerteventura,agosto,2019,8,2019-08-01
Países Nórdicos,agosto 2019,1838,Fuerteventura,agosto,2019,8,2019-08-01
Suecia,agosto 2019,652,Fuerteventura,agosto,2019,8,2019-08-01
Noruega,agosto 2019,0,Fuerteventura,agosto,2019,8,2019-08-01
Dinamarca,agosto 2019,1186,Fuerteventura,agosto,2019,8,2019-08-01
Finlandia,agosto 2019,0,Fuerteventura,agosto,2019,8,2019-08-01
Suiza,agosto 2019,3790,Fuerteventura,agosto,2019,8,2019-08-01
Austria,agosto 2019,664,Fuerteventura,agosto,2019,8,2019-08-01
Federación Rusa,agosto 2019,0,Fuerteventura,agosto,2019,8,2019-08-01
Republica Checa,agosto 2019,815,Fuerteventura,agosto,2019,8,2019-08-01
Polonia,agosto 2019,8121,Fuerteventura,agosto,2019,8,2019-08-01
Portugal,agosto 2019,2856,Fuerteventura,agosto,2019,8,2019-08-01
Marruecos,agosto 2019,0,Fuerteventura,agosto,2019,8,2019-08-01
Luxemburgo,agosto 2019,613,Fuerteventura,agosto,2019,8,2019-08-01
Islandia,agosto 2019,0,Fuerteventura,agosto,2019,8,2019-08-01
Hungría,agosto 2019,0,Fuerteventura,agosto,2019,8,2019-08-01
Venezuela,agosto 2019,0,Fuerteventura,agosto,2019,8,2019-08-01
Rumanía,agosto 2019,0,Fuerteventura,agosto,2019,8,2019-08-01
Estonia,agosto 2019,0,Fuerteventura,agosto,2019,8,2019-08-01
Letonia,agosto 2019,0,Fuerteventura,agosto,2019,8,2019-08-01
Lituania,agosto 2019,0,Fuerteventura,agosto,2019,8,2019-08-01
Ucrania,agosto 2019,0,Fuerteventura,agosto,2019,8,2019-08-01
Israel,agosto 2019,0,Fuerteventura,agosto,2019,8,2019-08-01
USA,agosto 2019,0,Fuerteventura,agosto,2019,8,2019-08-01
Otros países,agosto 2019,35,Fuerteventura,agosto,2019,8,2019-08-01
Total aerop. Extranjeros,agosto 2019,162861,Fuerteventura,agosto,2019,8,2019-08-01
TOTAL PASAJEROS,agosto 2019,257070,Fuerteventura,agosto,2019,8,2019-08-01
aerop. Interinsulares,septiembre 2019,44481,Fuerteventura,septiembre,2019,9,2019-09-01
aerop. peninsulares,septiembre 2019,32005,Fuerteventura,septiembre,2019,9,2019-09-01
Total aerop. españoles,septiembre 2019,76486,Fuerteventura,septiembre,2019,9,2019-09-01
Aerop. Peninsulares + aerop. Extranjeros,septiembre 2019,180967,Fuerteventura,septiembre,2019,9,2019-09-01
Holanda,septiembre 2019,4734,Fuerteventura,septiembre,2019,9,2019-09-01
Bélgica,septiembre 2019,1407,Fuerteventura,septiembre,2019,9,2019-09-01
Alemania,septiembre 2019,51262,Fuerteventura,septiembre,2019,9,2019-09-01
Francia,septiembre 2019,7775,Fuerteventura,septiembre,2019,9,2019-09-01
Reino Unido,septiembre 2019,52550,Fuerteventura,septiembre,2019,9,2019-09-01
Irlanda,septiembre 2019,4150,Fuerteventura,septiembre,2019,9,2019-09-01
Italia,septiembre 2019,8471,Fuerteventura,septiembre,2019,9,2019-09-01
Países Nórdicos,septiembre 2019,2089,Fuerteventura,septiembre,2019,9,2019-09-01
Suecia,septiembre 2019,662,Fuerteventura,septiembre,2019,9,2019-09-01
Noruega,septiembre 2019,0,Fuerteventura,septiembre,2019,9,2019-09-01
Dinamarca,septiembre 2019,1427,Fuerteventura,septiembre,2019,9,2019-09-01
Finlandia,septiembre 2019,0,Fuerteventura,septiembre,2019,9,2019-09-01
Suiza,septiembre 2019,5323,Fuerteventura,septiembre,2019,9,2019-09-01
Austria,septiembre 2019,834,Fuerteventura,septiembre,2019,9,2019-09-01
Federación Rusa,septiembre 2019,0,Fuerteventura,septiembre,2019,9,2019-09-01
Republica Checa,septiembre 2019,1343,Fuerteventura,septiembre,2019,9,2019-09-01
Polonia,septiembre 2019,7829,Fuerteventura,septiembre,2019,9,2019-09-01
Portugal,septiembre 2019,651,Fuerteventura,septiembre,2019,9,2019-09-01
Marruecos,septiembre 2019,0,Fuerteventura,septiembre,2019,9,2019-09-01
Luxemburgo,septiembre 2019,151,Fuerteventura,septiembre,2019,9,2019-09-01
Islandia,septiembre 2019,0,Fuerteventura,septiembre,2019,9,2019-09-01
Hungría,septiembre 2019,0,Fuerteventura,septiembre,2019,9,2019-09-01
Venezuela,septiembre 2019,0,Fuerteventura,septiembre,2019,9,2019-09-01
Rumanía,septiembre 2019,0,Fuerteventura,septiembre,2019,9,2019-09-01
Estonia,septiembre 2019,0,Fuerteventura,septiembre,2019,9,2019-09-01
Letonia,septiembre 2019,0,Fuerteventura,septiembre,2019,9,2019-09-01
Lituania,septiembre 2019,0,Fuerteventura,septiembre,2019,9,2019-09-01
Ucrania,septiembre 2019,0,Fuerteventura,septiembre,2019,9,2019-09-01
Israel,septiembre 2019,0,Fuerteventura,septiembre,2019,9,2019-09-01
USA,septiembre 2019,0,Fuerteventura,septiembre,2019,9,2019-09-01
Otros países,septiembre 2019,393,Fuerteventura,septiembre,2019,9,2019-09-01
Total aerop. Extranjeros,septiembre 2019,148962,Fuerteventura,septiembre,2019,9,2019-09-01
TOTAL PASAJEROS,septiembre 2019,225448,Fuerteventura,septiembre,2019,9,2019-09-01
aerop. Interinsulares,octubre 2019,40264,Fuerteventura,octubre,2019,10,2019-10-01
aerop. peninsulares,octubre 2019,31038,Fuerteventura,octubre,2019,10,2019-10-01
Total aerop. españoles,octubre 2019,71302,Fuerteventura,octubre,2019,10,2019-10-01
Aerop. Peninsulares + aerop. Extranjeros,octubre 2019,204143,Fuerteventura,octubre,2019,10,2019-10-01
Holanda,octubre 2019,5649,Fuerteventura,octubre,2019,10,2019-10-01
Bélgica,octubre 2019,1506,Fuerteventura,octubre,2019,10,2019-10-01
Alemania,octubre 2019,65953,Fuerteventura,octubre,2019,10,2019-10-01
Francia,octubre 2019,9138,Fuerteventura,octubre,2019,10,2019-10-01
Reino Unido,octubre 2019,52087,Fuerteventura,octubre,2019,10,2019-10-01
Irlanda,octubre 2019,5040,Fuerteventura,octubre,2019,10,2019-10-01
Italia,octubre 2019,8050,Fuerteventura,octubre,2019,10,2019-10-01
Países Nórdicos,octubre 2019,10033,Fuerteventura,octubre,2019,10,2019-10-01
Suecia,octubre 2019,3650,Fuerteventura,octubre,2019,10,2019-10-01
Noruega,octubre 2019,283,Fuerteventura,octubre,2019,10,2019-10-01
Dinamarca,octubre 2019,4254,Fuerteventura,octubre,2019,10,2019-10-01
Finlandia,octubre 2019,1846,Fuerteventura,octubre,2019,10,2019-10-01
